1759119_s_at	IG_3543836_3544194-r	459.7	498.16	464.61	496.16	489.94	322.99	514.01	530.16	651.45	490.22	465.63	488.99	569.04	502.58	435.92	48.217565	616.81	497.66
1759120_s_at	IG_728564_728805-r	106.18	110.11	96.31	107.86	85.56	46.39	110.37	160.79	209.22	142.2	86.76	110.09	109.82	109.75	84.51	28.069193	164.66	124.04
1759122_s_at	thrA	1836.3	1648.58	1831.6	2091.93	1577.46	2804.85	2478.57	2450.68	2398.75	1278.11	1418.6	1203.92	3451.5	3557.18	4191.96	842.302128	1656.78	1843.92
1759124_s_at	yohG	42.2	50.13	44.41	55.66	45.85	33.77	59.03	65.17	50.06	50.06	51.68	46.05	50.04	50.02	47.65	5.203876	50.16	50.14
1759127_s_at	yghA	159.66	182.11	175.37	155.23	143.23	131.69	193.45	217.15	231.43	301.43	232.54	255.59	372.26	476.06	519.68	118.41354	375.08	360.64
1759129_s_at	yggN	2755.96	2787.33	2780.47	1350.69	1213.91	1210.63	3132.97	3299.17	3174.1	1773.94	1996.05	2053.15	2586.46	2531.59	2796.12	765.662684	1446.54	1663.03
1759130_s_at	ydhL	190.49	182.06	241.19	245.43	209.48	156.14	268.72	311.07	302.63	211.01	263.95	341.02	268.4	221.13	263.74	47.763967	345.38	300.72
1759131_s_at	IG_302830_303076-r	12.99	15.72	12.52	9.5	12.44	11.95	14.01	19.39	21.84	14.77	9.28	11.62	14.33	12.93	10.05	2.599277	12.37	12.35
1759133_s_at	ycjW	246.43	239.78	239.35	205.02	220.72	113.98	312.5	285.74	290.39	214.23	212.88	249.74	270.07	263.68	259.79	44.214256	316.86	262.16
1759134_s_at	ydgF	2897.33	3056.86	3246.84	2742.15	3077.41	3335.29	1967.41	1944.9	2089.52	1396.18	1417.63	1651.09	2571	2390.41	2317.02	757.14763	3367.99	3622.51
1759135_s_at	ygjN	634.32	636.36	686.23	403.7	480.07	308.86	579.38	747.39	817.68	485.9	447.88	514.39	674.83	589.72	547.5	115.557802	561.26	535.2
1759136_s_at	c2236	936.95	937.49	1057.2	556.9	675.49	534.25	528.52	526.85	525.24	913.99	944.9	941.85	525.62	546.05	590.46	201.414566	590.78	656.05
1759137_s_at	ygfA	94.04	113.35	111.69	122.09	151.7	118.11	108.95	96.25	118.03	119.66	118.51	123.51	121.86	113.94	119.93	8.996585	118.17	115.14
1759138_s_at	yqeA	663.52	665.15	658.78	890.81	622.44	555.99	1132.63	1107.4	1028.61	776.85	796.65	805.93	874.32	897.03	788.24	152.506246	783.18	796.35
1759139_s_at	Z0310	290.37	324.91	276.76	438.84	355.16	493.08	413.92	401.8	338.7	283.05	269.79	307.26	340.72	291.37	287.27	56.090351	333.79	330.45
1759151_s_at	IG_70049_70386-f	163.68	199.69	221.06	161.82	142.85	102.25	298.68	331.25	374.79	395.65	296.34	345.69	215.88	229.99	228.98	81.4731	280.9	234.69
1759153_s_at	c2531	63.79	52.49	85.15	46.49	49.88	9.24	109.8	119.16	106.02	90.12	85.84	94.07	85.57	85.57	86	27.031199	101.46	85.79
1759155_s_at	IG_996736_997081-r	63.98	62.11	71.58	49.38	71.6	52.76	71.55	104.13	121.2	80.83	71.59	73.24	66.27	56.84	57.16	18.69051	119.37	83.31
1759157_s_at	Z4999	69.51	71.06	69.39	81.33	69.61	75.48	78.15	72.77	73.42	69.47	67.75	69.48	73.02	69.49	68.14	2.712321	78.07	69.49
1759159_s_at	ghxQ	383.74	358.15	352.98	356.28	307	569.74	551.73	508.63	637.78	427.82	353.33	335.64	463.03	428.97	353.04	79.246673	357.83	336.07
1759162_at	serB	341.47	340.29	338.25	291.29	290.58	228.75	341.6	412.87	563.72	365.65	335.71	341.18	350.39	376.28	338.71	54.431726	337.5	343.41
1759163_s_at	ygcS	2582.89	2574.65	2577.12	3167.9	2306.65	1824.1	4055.61	4183.77	3264.49	2458.25	3394.48	3192.84	2735.88	2749.67	2542.52	507.551939	2932.07	2853.24
1759164_s_at	grpE	3378.7	4291.86	3920.14	2649.39	3173.22	3357.28	4327.52	4354.56	3705.18	2195.37	2798.88	2420.57	5276.41	5774.65	5805.43	1221.276816	2916.66	2369.21
1759166_s_at	yaeJ	1254.48	1213.61	1211.11	1091.06	1187.38	1198.94	1070.92	1212.32	1129.36	1227.37	1279.71	1245.05	1186.53	1222.03	1419.12	53.435292	1219.8	1181.06
1759170_s_at	pepA	3004.86	2748.13	3138.92	1981.23	1944.07	2413.89	2380.17	1984.94	2412.73	2604.21	2681.62	2572.49	2809.76	2801.06	3139.16	387.291097	2029.49	2412.95
1759171_s_at	ygiH	128.32	152.94	142.98	114.94	143.21	122.32	127.5	108.82	120.37	132.85	107.11	128.98	166.73	155.06	158.63	15.125939	156.99	135.85
1759173_s_at	yfeK	59.45	68.72	48.13	41.44	41.39	24.3	93.54	88.9	91.98	45.49	53.07	65.91	59.06	51.27	61.9	18.382727	53.07	51.17
1759174_s_at	ypdE	143.56	158.81	156.5	158.51	156.67	111.13	196.41	196.95	224.89	174.64	153.98	158.79	158.91	162.2	158.51	21.99413	158.31	158.91
1759176_s_at	tdcE	288.18	288.85	252.42	255.46	268.68	277.75	337.44	288.47	287.93	480.38	347.55	374.12	287.04	269.33	239.61	50.910735	287.72	346.84
1759177_s_at	IG_1636692_1637053-r	10.33	12.35	9.65	12.11	16.31	12.03	11.9	12.32	16.29	11.45	7.21	11.92	11.91	11.9	10.65	1.430795	14.8	11.92
1759178_s_at	fruB	562.4	441.95	441.32	2913.92	2756.1	1660.68	441.49	441.51	441.13	441.4	441.95	424.95	340.87	318.24	334.39	838.607603	1373.13	1007.96
1759179_s_at	osmB	529.41	648.14	672.45	569.68	867.1	470.12	1506.56	2191.84	1388.57	3066.2	3832.12	3811.47	14680	14360.2	14019.8	5202.097446	4641.31	4433.48
1759181_s_at	yoaF	28.84	28.98	27.41	27.8	28.79	23.4	30.97	30.98	27.28	29.85	31.98	36.15	29.84	29.83	35.02	2.150207	33.03	29.9
1759182_s_at	yhcN	5368.02	5702.92	5458.02	4501.35	4885.48	2418.25	21510.8	23368	16980.6	5934.14	10457.2	10037	21901.5	24705.6	28215.4	8523.574115	10931.1	10031.7
1759185_s_at	ybbA	347.61	344.82	266.22	323.36	273.47	312.45	349.76	349.12	345.96	348.63	366.49	348.53	385.31	370.46	347.39	23.784402	349.69	349.23
1759186_s_at	c0869	1306.25	1324.28	1253.21	1367.9	1359.55	1147.96	1745.74	1865.12	2006.67	1351.4	1339.02	1543.11	1387.13	1308.21	1309.87	260.808464	1833.72	1686.63
1759187_at	ryeA	28.05	40.66	33.14	30.08	42.98	32.21	36.73	34.63	34.04	33.71	33.11	48.25	34.11	32.6	19.6	3.545297	25.43	31.73
1759188_s_at	yadG	1936.07	2028.57	2149.73	1635.87	1759.45	2139.39	2330.55	2423.8	2418.27	2384.32	2344.05	2378.48	2895.23	3026.09	3577.68	631.111259	1120.85	1480.38
1759189_s_at	ygcW	381.77	354.74	304.93	367.2	306.75	349.6	469.48	437.24	483.62	403.15	322.13	395.71	411.33	385.31	339.09	43.806935	410.09	382.28
1759190_s_at	IG_3067828_3068184-r	804.51	805.64	870.2	897.74	922.2	1184.04	802.35	870.55	956.79	732.71	776.91	760.43	898.44	936.55	962.09	97.687494	641.57	860.75
1759191_s_at	sufI	2401.62	2268.02	2062.77	1728.67	1549.46	1966.12	1647.77	1586.36	1654.31	1537	1666.93	1343.94	1736.92	1618.47	1631.25	305.673703	1372.75	1399.2
1759193_s_at	yheR	1488.7	1617.41	1582.59	1102.64	976.23	842	1507.53	1491.45	1379.29	1083.89	1097.66	1107.43	1460.84	1666.99	1638.7	263.375113	1049.31	1209.12
1759194_s_at	IG_2915836_2916066-f	267.91	223.75	220.03	271.07	214.9	294.94	300.61	292.46	379.24	267.93	220.33	267.92	267.36	246.25	248.71	30.528674	291.75	268.21
1759196_s_at	lspA	5048.9	4432.95	4774.74	4070.96	4140.31	7318.72	4208.54	4042.84	4594.8	4522.45	3857.58	3558.12	5593.7	5630.14	6395.91	714.147976	4065.4	4428.31
1759198_s_at	nanT	15.16	15.55	14	15.14	15.53	16.36	15.52	15.53	15.29	52.99	32.64	28.77	15.16	13.98	14	10.03863	33.35	35.49
1759200_s_at	IG_2889922_2890236-f	60.02	72.01	58.27	60.44	58.59	68.09	97.02	122.46	163.08	73.01	41.26	52.19	82.18	70.63	61.27	26.386403	88.28	74.56
1759201_s_at	ygjE	715.67	576.06	678.63	598.76	489.24	327.56	1049.8	935.44	898.55	793.88	750.08	715.43	711.76	760.75	669.81	157.974871	623.6	707.03
1759202_s_at	yebN	227.95	271.32	272.7	247.63	255.07	298.89	225.77	206.77	167.05	321.01	296.93	288.31	211.37	222.32	227.74	36.926149	313.61	267.33
1759205_at	quuQ	15.76	20.89	13.88	21.96	18.83	21.21	16.42	15.62	15.89	15.73	15.8	15.87	15.99	15.92	15.73	1.974912	15.88	16.08
1759207_at	b1364	26.01	29.28	29.18	29.21	31.66	35.89	29.2	35.54	30.7	29.12	29.21	29.3	28.17	28.93	23.52	2.079087	29.23	28.23
1759209_s_at	IG_882612_882895-r	620.44	620.72	724.39	545.42	619.88	563.14	647.64	649.18	656.12	534.38	483.15	619.96	619.68	674.94	619.2	44.726485	619.82	654.42
